stname,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age04_tot,age04_male,age04_fem,age59_tot,age59_male,age59_fem,age1014_tot,age1014_male,age1014_fem,age1519_tot,age1519_male,age1519_fem,age2024_tot,age2024_male,age2024_fem,age2529_tot,age2529_male,age2529_fem,age3034_tot,age3034_male,age3034_fem,age3539_tot,age3539_male,age3539_fem,age4044_tot,age4044_male,age4044_fem,age4549_tot,age4549_male,age4549_fem,age5054_tot,age5054_male,age5054_fem,age5559_tot,age5559_male,age5559_fem,age6064_tot,age6064_male,age6064_fem,age6569_tot,age6569_male,age6569_fem,age7074_tot,age7074_male,age7074_fem,age7579_tot,age7579_male,age7579_fem,age8084_tot,age8084_male,age8084_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem,inflow_returns,inflow_agi,outflow_returns,outflow_agi,state_fips_code_1,county_fips_code_1,number_of_returns_2,number_of_single_returns,number_of_joint_returns,number_of_head_of_household_returns,number_of_electronically_filed_returns,number_of_computer_prepared_paper_returns,number_with_paid_preparers_signature,number_of_returns_with_direct_deposit,number_of_returns_with_virtual_currency_indicator,number_of_individuals_3,number_of_refund_anticipation_check_returns_5,number_of_elderly_returns_6,adjusted_gross_income_agi_7,number_of_farm_returns,net_migration_returns,net_migration_agi
Alabama,5049196,2453002,2596194,294227,150368,143859,568866,290047,278819,265054,135371,129683,475424,237546,237878,4051803,1944006,2107797,3921049,1877216,2043833,1949632,963968,985664,1277137,625761,651376,1287898,625102,662796,880590,388807,491783,294227,150368,143859,308639,156987,151652,328210,167770,160440,334654,169518,165136,337841,168689,169152,324498,161584,162914,331746,162419,169327,312496,151882,160614,308397,149876,158521,300706,146205,154501,319390,156920,162470,334819,162687,172132,332983,159290,173693,291907,136297,155610,244890,112032,132858,158349,69707,88642,99863,41138,58725,85581,29633,55948,2761.8,2666.5,2854.4,2186785,168424215,2146027,164530724,67,4489,2149580,963670,753090,381200,2002390,69910,1183030,1391400,25040,4125960,424130,565600,158713459,44030,40758,3893491
Alaska,734420,385954,348466,48049,24588,23461,91830,47201,44629,38951,20108,18843,67376,38247,29129,574762,303904,270858,555590,294057,261533,312186,167962,144224,215908,114843,101065,174185,92014,82171,98121,48953,49168,48049,24588,23461,51021,26069,24952,50858,26368,24490,45715,24064,21651,50563,29055,21508,55787,30361,25426,58122,30406,27716,55315,29366,25949,46684,24710,21974,40812,21808,19004,42726,22671,20055,45342,23874,21468,45305,23661,21644,38378,19632,18746,28235,14604,13631,15996,7990,8006,8676,4068,4608,6836,2659,4177,1153.4,1168.4,1132.5,358141,31650557,367839,33061040,60,4208,348300,181320,121600,35760,321000,13280,142330,198730,7080,635470,47380,83980,30229762,1270,-9698,-1410483
Arizona,7274078,3632134,3641944,397409,202611,194798,814454,416281,398173,385970,197640,188330,674555,348363,326192,5866776,2913297,2953479,5676245,2815602,2860643,2875385,1480712,1394673,1913523,985160,928363,1734917,855419,879498,1353250,626660,726590,397409,202611,194798,440770,225283,215487,472347,241449,230898,472973,243209,229764,488889,252343,236546,501617,259720,241897,497737,257354,240383,469379,242003,227376,444790,226083,218707,418589,210123,208466,430593,215342,215251,438665,215153,223512,447070,214801,232269,413106,193820,219286,377522,177197,200325,259385,121256,138129,162896,75219,87677,140341,59168,81173,630.6,615.9,646.4,3428146,311154153,3342174,296473992,60,208,3372200,1689290,1152030,474120,3132110,124210,1561460,2057590,59970,6279990,470080,930050,286969138,9370,85972,14680161
Arkansas,3026870,1495032,1531838,181987,93172,88815,356626,183153,173473,166613,85213,81400,281030,143210,137820,2403674,1175484,1228190,2321644,1133494,1188150,1179555,594871,584684,774719,388355,386364,741240,365499,375741,524655,236430,288225,181987,93172,88815,193757,99618,94139,205676,105442,100234,202955,103880,99075,201881,102636,99245,195616,98588,97028,199254,99567,99687,192269,96325,95944,187580,93875,93705,176251,87467,88784,181871,90814,91057,192170,94536,97634,190948,92682,98266,169261,79960,89301,144052,66969,77083,95845,43126,52719,61300,26423,34877,54197,19952,34245,3137.7,3040.2,3240.9,1365301,103676966,1334673,101426419,375,5625,1296030,574460,486390,204370,1219390,37040,709570,838200,15810,2535050,239520,335510,95532279,41610,30628,2250547
California,39142565,19559536,19583029,2199725,1124659,1075066,4459094,2284968,2174126,2077203,1062942,1014261,3474349,1781630,1692719,31434574,15611890,15822684,30406543,15086967,15319576,16257799,8329418,7928381,11235533,5756528,5479005,9721774,4853888,4867886,5974887,2694921,3279966,2199725,1124659,1075066,2425439,1241705,1183734,2562941,1314945,1247996,2515006,1287573,1227433,2507260,1285317,1221943,2830501,1449868,1380633,3002050,1543293,1458757,2813674,1447942,1365732,2589308,1315425,1273883,2431758,1222238,1209520,2501600,1261092,1240508,2461006,1227477,1233529,2327410,1143081,1184329,1964472,935600,1028872,1600539,741790,858749,1048879,470333,578546,677749,290794,386955,683248,256404,426844,2350.4,2302.3,2406.2,18389664,2236191386,18999786,2334853495,348,3364,18487220,9539550,6142130,2466780,17116680,774120,11385090,10284730,416560,34442310,1733520,4454770,1989381435,56950,-610122,-98662109
Colorado,5814036,2944362,2869674,314686,160416,154270,630377,323037,307340,299375,153391,145984,528184,275861,252323,4718460,2383701,2334759,4569598,2307518,2262080,2497680,1299758,1197922,1745841,909388,836453,1412426,713214,699212,883147,409055,474092,314686,160416,154270,339682,173435,166247,366415,188484,177931,372817,192552,180265,379022,197818,181204,443651,231367,212284,463704,242170,221534,441796,231151,210645,396690,204700,191990,355128,183856,171272,354661,181858,172803,349126,173812,175314,353511,173688,179823,308865,149189,159676,250088,119662,130426,150228,69701,80527,90314,39516,50798,83652,30987,52665,2766.5,2719,2830.6,3337029,358091924,3313196,352403910,512,3983,2972420,1583870,1043580,277410,2768710,109220,1316120,1720880,64530,5250160,360520,721900,297750481,26050,23833,5688014
Connecticut,3606607,1769229,1837378,179818,91836,87982,366990,187225,179765,185743,94604,91139,338573,172258,166315,2967793,1443378,1524415,2874056,1395564,1478492,1383280,697993,685287,904955,454505,450450,981878,479624,502254,648650,289177,359473,179818,91836,87982,195475,99681,95794,217506,110918,106588,240329,122019,118310,237996,121469,116527,225625,115672,109953,227309,114405,112904,231642,115692,115950,220379,108736,111643,212518,103959,108559,247749,121171,126578,266392,129988,136404,255219,124506,130713,209721,100663,109058,169354,77975,91379,116388,51991,64397,73353,30742,42611,79834,27806,52028,380.5,367.9,393,1806692,238892025,1837530,242800920,81,1350,1823190,942050,609250,226030,1690740,72380,977540,1094150,34020,3203160,212200,529680,217625271,3220,-30838,-3908895
Delaware,1005062,487575,517487,53919,27619,26300,106402,54121,52281,49599,24843,24756,84614,42516,42098,819758,393327,426431,795142,380992,414150,371626,184753,186873,249921,123672,126249,260260,124287,135973,200347,90517,109830,53919,27619,26300,57737,29324,28413,61173,31075,30098,63381,31612,31769,58324,29469,28855,61463,30824,30639,67166,33093,34073,62612,31134,31478,58680,28621,30059,54340,26326,28014,62636,30098,32538,70300,33552,36748,72984,34311,38673,67034,31115,35919,56562,26239,30323,36417,16582,19835,21630,9512,12118,18704,7069,11635,128.8,124.30000000000001,133.1,503183,45335482,483642,42891835,30,9,503130,248990,170860,69320,465260,19150,239970,309930,7320,901500,71760,159110,42386802,1850,19541,2443647
District of Columbia,669256,318696,350560,40469,20770,19699,63188,32050,31138,21673,10853,10820,66205,29522,36683,554309,260207,294102,543926,255023,288903,337546,159706,177840,255490,122241,133249,136742,67804,68938,85489,35456,50033,40469,20770,19699,37637,19216,18421,31373,15744,15629,36149,17047,19102,45907,20418,25489,69911,31546,38365,75578,36549,39029,62756,30703,32053,47245,23443,23802,36270,18143,18127,34627,17557,17070,34074,16972,17102,31771,15132,16639,27751,12327,15424,22724,9679,13045,14780,6040,8740,9749,3822,5927,10485,3588,6897,34.8,34.7,34.9,389093,51504291,397503,56235389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8410,-4731098
Florida,21831949,10722008,11109941,1100360,561693,538667,2165287,1107761,1057526,1015069,518156,496913,1764172,895341,868831,18052423,8790442,9261981,17551233,8534398,9016835,8002151,4044910,3957241,5481738,2763522,2718216,5681959,2776836,2905123,4623364,2098699,2524665,1100360,561693,538667,1179621,603292,576329,1244494,636578,607916,1252673,639693,612980,1267740,641695,626045,1334468,677911,656557,1432442,723529,708913,1383742,697611,686131,1331086,664471,666615,1303837,645706,658131,1397129,691922,705207,1499436,731283,768153,1481557,707925,773632,1352012,628553,723459,1237241,574429,662812,888851,407968,480883,586865,262252,324613,558395,225497,332898,2976.8,2884,3081.6,11679277,1228650618,11157556,1079255170,804,4550,11129620,5623290,3559950,1640470,10240700,478670,6139410,6838710,219500,19730730,1657100,3234300,1121879067,37010,521721,149395448
Georgia,10792060,5262969,5529091,636244,325140,311104,1285414,654678,630736,615599,313292,302307,1013497,513821,499676,8558744,4124308,4434436,8254803,3969859,4284944,4394371,2177345,2217026,2922540,1430489,1492051,2738390,1329454,1408936,1580376,696095,884281,636244,325140,311104,690812,350885,339927,751867,384050,367817,747396,380414,366982,724435,366442,357993,740114,367862,372252,752832,368370,384462,723099,352612,370487,706495,341645,364850,685645,332236,353409,712284,350184,362100,698909,339849,359060,641552,307185,334367,537959,249037,288922,446308,201657,244651,283545,125003,158542,169635,70624,99011,142929,49774,93155,6452.3,6245.3,6685,5321174,456010684,5212345,452262878,2067,25677,4932020,2367430,1571630,856570,4574720,166780,2518020,3113460,77280,9315340,955270,1120890,405098838,49830,108829,3747806
Hawaii,1447029,728143,718886,81634,42130,39504,155286,80069,75217,64289,33025,31264,117601,64584,53017,1177661,589263,588398,1145820,572919,572901,551243,287971,263272,385821,198866,186955,353790,176968,176822,288608,132501,156107,81634,42130,39504,87663,45413,42250,84091,43160,40931,77663,40511,37152,87759,48594,39165,94394,49797,44597,100224,51501,48723,99314,50815,48499,91889,46753,45136,83461,42120,41341,87451,43909,43542,90481,45157,45324,92397,45782,46615,87564,42548,45016,77415,37336,40079,51266,24058,27208,31525,13769,17756,40838,14790,26048,223.7,216.7,231.1,688954,60643694,702732,59284871,60,20,689970,359650,240310,71170,617750,39720,356070,383140,9090,1238060,77640,215970,57673018,5350,-13778,1358823
Idaho,1904848,957486,947362,113921,58559,55362,238658,122043,116615,113206,58187,55019,186993,93605,93388,1494932,747396,747536,1439063,718697,720366,765706,389010,376696,494494,252164,242330,441430,222041,219389,316146,150887,165259,113921,58559,55362,128298,65484,62814,139347,71505,67842,145233,71341,73892,125979,65505,60474,123064,63904,59160,124077,62423,61654,125312,63544,61768,122041,62293,59748,107340,55212,52128,107114,54749,52365,110506,54804,55702,116470,57276,59194,106997,52462,54535,88837,43708,45129,56427,27038,29389,34410,15982,18428,29475,11697,17778,1792.4,1775.5,1810.6,936813,85869267,902176,78730544,704,1936,869630,395780,380940,81790,816460,26960,430010,506600,16030,1736190,105870,243430,72830714,19500,34637,7138723
Illinois,12700641,6278754,6421887,706982,361138,345844,1422070,727372,694698,683056,349161,333895,1146518,584324,562194,10230133,5016243,5213890,9888533,4841083,5047450,5064957,2563725,2501232,3407045,1717613,1689432,3235104,1605228,1629876,2099866,933918,1165948,706982,361138,345844,768438,392914,375524,825294,421831,403463,839866,430723,409143,818046,415389,402657,855253,430847,424406,866217,436983,429234,859135,433869,425266,826440,415914,410526,774129,387899,386230,810208,405144,405064,830445,411429,419016,820322,400756,419566,696334,332147,364187,562030,260035,301995,362584,160311,202273,237389,98028,139361,241529,83397,158132,4302.9,4185.1,4440.9,5961659,607754830,6155439,648910930,1734,10404,6112930,3117160,2047420,820910,5680430,236980,3381360,3898350,106510,11105590,778550,1620440,580872582,63500,-193780,-41156100
Indiana,6815907,3381263,3434644,410543,210444,200099,807552,414003,393549,378489,194115,184374,657859,336587,321272,5407239,2659227,2748012,5219323,2562701,2656622,2693663,1364653,1329010,1753399,883126,870273,1692114,842375,849739,1115951,500613,615338,410543,210444,200099,439764,225794,213970,463872,237384,226488,467005,240113,226892,473259,241414,231845,450407,228853,221554,443438,222470,220968,433527,217670,215857,426027,214133,211894,400379,201085,199294,419304,211338,207966,436504,216329,220175,435927,213623,222304,376131,180560,195571,303670,141784,161886,191949,85602,106347,124595,51857,72738,119606,40810,78796,3733,3642.3,3830.9,3315183,257999056,3317983,260501869,1656,8464,3246860,1587610,1176440,409550,3058270,99190,1593320,2144720,42830,6055000,494450,904020,246532474,48650,-2800,-2502813
Iowa,3198613,1603494,1595119,189265,96609,92656,373463,191386,182077,174563,89670,84893,318987,163810,155177,2547298,1270047,1277251,2461322,1225829,1235493,1249518,642464,607054,800692,411954,388738,773323,390550,382773,568320,259515,308805,189265,96609,92656,203210,103959,99251,214977,110397,104580,222255,114180,108075,226571,116330,110241,201511,104385,97126,195867,100132,95735,204786,105304,99482,198528,102133,96395,174949,89610,85339,186509,95211,91298,201513,101046,100467,210352,104683,105669,185273,91451,93822,150066,71924,78142,94525,43374,51151,66027,28108,37919,72429,24658,47771,4123.4,4012.7,4246.7,1530413,124335877,1551244,126612486,1881,9801,1486180,713650,594740,153370,1418520,31230,897290,923910,18630,2817160,176650,436820,122193528,77160,-20831,-2276609
Kansas,2938338,1474631,1463707,179173,92028,87145,359779,184080,175699,166110,85463,80647,298446,156377,142069,2315360,1155385,1159975,2233276,1113060,1120216,1177460,607515,569945,755347,387415,367932,692544,346855,345689,486939,222413,264526,179173,92028,87145,195069,99640,95429,207153,106180,100973,207804,107619,100185,214309,112481,101828,191812,99693,92119,187090,95854,91236,193930,98389,95541,182515,93479,89036,161881,82542,79339,166033,84188,81845,179204,89211,89993,185426,90914,94512,162317,79014,83303,129924,62088,67836,82126,37441,44685,54214,22998,31216,58358,20872,37486,4299.7,4185.7,4431.2,1394469,119686685,1410904,122220873,2100,11025,1361590,650530,531020,149090,1291970,35680,709090,830230,21030,2592630,177760,396840,112503104,51270,-16435,-2534188
Kentucky,4507583,2234440,2273143,267443,136926,130517,515462,264841,250621,239541,122573,116968,406215,209108,197107,3603741,1770745,1832996,3485137,1710100,1775037,1739701,884556,855145,1155100,584174,570926,1155757,571324,584433,768065,345494,422571,267443,136926,130517,281893,144910,136983,294724,151230,143494,289060,148370,140690,295541,152012,143529,295901,152266,143635,294648,148317,146331,280715,141087,139628,283836,142504,141332,271426,136357,135069,286781,143435,143346,301282,147894,153388,296268,143638,152630,258999,123138,135861,215703,100664,115039,134412,60072,74340,85087,35764,49323,73864,25856,48008,4945.8,4802.9,5097.8,2049411,146540330,2033912,146281065,2520,14400,1976100,922290,740040,267150,1872210,53160,1072250,1296690,21760,3756740,324630,505770,139060516,69810,15499,259265
Louisiana,4627971,2266191,2361780,289112,147619,141493,553006,281945,271061,250240,127840,122400,420656,211847,208809,3658145,1771409,1886736,3535613,1708787,1826826,1841121,919524,921597,1235129,613007,622122,1125363,547728,577635,754465,336205,418260,289112,147619,141493,304059,154910,149149,313851,160205,153646,303020,154086,148934,302972,152431,150541,303605,152427,151178,321763,158658,163105,316050,156204,159846,293711,145718,147993,259552,128403,131149,273807,134061,139746,295220,142865,152355,296784,142399,154385,258594,122129,136465,208565,96080,112485,130644,57655,72989,82922,34246,48676,73740,26095,47645,2491.8,2405.5,2585.5,1978588,139639944,2041983,143643684,1408,4096,1970600,913100,604390,418330,1815550,78550,1042330,1315470,22650,3765400,438740,497410,140739714,30370,-63395,-4003740
Maine,1378931,679486,699445,62777,32220,30557,127023,65282,61741,62640,32278,30362,109315,56031,53284,1158022,566023,591999,1126491,549706,576785,488617,246608,242009,332260,166280,165980,384237,188541,195696,300679,138854,161825,62777,32220,30557,68320,35112,33208,74301,38151,36150,79752,41069,38683,76605,39259,37346,80542,40660,39882,86259,43129,43130,84665,42264,42401,80794,40227,40567,78923,39043,39880,91877,45481,46396,103703,50848,52855,109734,53169,56565,99503,48024,51479,84131,40381,43750,52699,24778,27921,32531,14092,18439,31815,11579,20236,746.6,729.5,764.1,739892,61234050,716745,58170136,368,256,710910,370710,261320,62860,654990,28290,318260,417900,9540,1219690,94890,233060,54431699,4300,23147,3063914
Maryland,6179403,3008789,3170614,358533,182687,175846,696629,356161,340468,320445,163482,156963,525850,265868,259982,4962373,2387009,2575364,4803796,2306459,2497337,2419692,1205461,1214231,1655240,818239,837001,1622119,784402,837717,1000587,437950,562637,358533,182687,175846,379293,193666,185627,399179,204623,194556,392227,199443,192784,372225,187779,184446,395168,197115,198053,428997,212248,216749,427724,210532,217192,403351,198344,205007,372889,181764,191125,412443,199960,212483,432116,208613,223503,404671,194065,210606,331461,153978,177483,271327,122490,148837,176843,77158,99685,111099,45936,65163,109857,38388,71469,993.5,963,1024.5,3058472,315906295,3125655,327840380,576,1079,3095180,1588220,956640,439430,2781370,165810,1549450,1831680,52890,5548220,388760,810340,295351827,11200,-67183,-11934085
Massachusetts,7000474,3420996,3579478,348013,177997,170016,685070,350879,334191,332922,170302,162620,690181,340473,349708,5802833,2807945,2994888,5634469,2721818,2912651,2824143,1409621,1414522,1883377,941041,942336,1844393,901848,942545,1216518,538456,678062,348013,177997,170016,370888,189312,181576,396519,203762,192757,459953,230737,229216,480813,237843,242970,487526,245672,241854,497583,249185,248398,469804,234124,235680,428464,212060,216404,411328,202045,209283,464977,227575,237402,494212,241979,252233,473876,230249,243627,399722,189197,210525,329288,151796,177492,212603,94163,118440,133607,54939,78668,141298,48361,92937,594.1,578.5,608.7,3531925,477033306,3638968,493221370,350,196,3567650,1951360,1164290,367990,3301140,148240,2004140,2018200,70400,6081910,345830,984430,422260334,4840,-107043,-16188064
Michigan,10041351,4978153,5063198,548657,280720,267937,1086988,557571,529417,520760,267153,253607,916153,467917,448236,8146044,4006599,4139445,7884946,3872709,4012237,3834601,1947393,1887208,2527983,1279230,1248753,2618783,1297675,1321108,1822027,827887,994140,548657,280720,267937,590891,302949,287942,626392,321529,304863,639426,328247,311179,667192,339916,327276,663048,339504,323544,655606,331820,323786,612040,309126,302914,597289,298780,298509,577010,287096,289914,648522,324107,324415,689680,341982,347698,703571,344490,359081,616597,296275,320322,499833,234876,264957,316880,144127,172753,199069,85282,113787,189648,67327,122321,3749.7,3666.2,3841.9,4839037,402895329,4885960,408496592,2158,6889,4871600,2509810,1719610,547640,4557430,161540,2631040,3041350,80080,8751900,655020,1485190,379716359,38150,-46923,-5601263
Minnesota,5718660,2867665,2850995,337966,173006,164960,671183,343737,327446,310341,158233,152108,500379,253828,246551,4553162,2271216,2281946,4399170,2192689,2206481,2249283,1148191,1101092,1517457,776366,741091,1421613,718912,702701,959721,443583,516138,337966,173006,164960,366979,187648,179331,383098,196325,186773,376061,191870,184191,355765,179955,175810,368116,187817,180299,381425,195474,185951,398560,203489,195071,369356,189586,179770,320137,163929,156208,345806,176194,169612,375251,188998,186253,380419,189791,190628,321156,158399,162757,255142,122707,132435,161281,74631,86650,107689,46897,60792,114453,40949,73504,3635.8,3576.7,3700.7,2938324,283657293,2973775,292726044,2349,7569,2871950,1485110,1068200,270620,2697390,84580,1541880,1693920,48710,5231510,270610,811160,263406080,64650,-35451,-9068751
